日付, 時間, 温度, 湿度

2022/09/09,17時00分44秒,27.3,62.3
2022/09/09,17時20分44秒,27.6,61.3
2022/09/09,17時22分14秒,27.5,61.6
2022/09/09,17時25分11秒,27.5,61.6
2022/09/09,17時45分24秒,27.5,61.7
2022/09/09,18時05分24秒,27.1,63.5
2022/09/09,18時25分24秒,26.9,64.0
2022/09/09,18時45分25秒,26.7,64.6
2022/09/09,19時05分25秒,26.5,64.8
2022/09/09,19時25分25秒,26.4,64.7
2022/09/09,19時45分25秒,26.4,64.3
2022/09/09,20時05分26秒,26.2,64.6
2022/09/09,20時25分26秒,26.2,64.6
2022/09/09,20時45分26秒,26.1,65.0
2022/09/09,21時05分27秒,26.0,64.8
2022/09/09,21時25分27秒,25.9,64.9
2022/09/09,21時45分27秒,25.8,65.1
2022/09/09,22時05分27秒,25.8,65.0
2022/09/09,22時25分28秒,25.8,65.0
2022/09/09,22時45分28秒,25.7,64.9
2022/09/09,23時05分28秒,25.8,64.8
2022/09/09,23時25分28秒,25.6,64.9
2022/09/09,23時45分29秒,25.6,65.3
2022/09/10,00時00分12秒,25.6,65.2
2022/09/10,00時20分25秒,25.6,65.2
2022/09/10,00時40分25秒,25.5,65.4
2022/09/10,01時00分25秒,25.5,65.5
2022/09/10,01時20分26秒,25.4,65.6
2022/09/10,01時40分26秒,25.5,65.4
2022/09/10,02時00分26秒,25.5,65.4
2022/09/10,02時20分26秒,25.4,65.5
2022/09/10,02時40分27秒,25.4,65.7
2022/09/10,03時00分27秒,25.5,65.6
2022/09/10,03時20分27秒,25.3,65.9
2022/09/10,03時40分27秒,25.4,66.0
2022/09/10,04時00分28秒,25.3,66.1
2022/09/10,04時20分28秒,25.4,66.0
2022/09/10,04時40分28秒,25.4,65.9
2022/09/10,05時00分28秒,25.4,66.0
2022/09/10,05時20分29秒,25.3,66.0
2022/09/10,05時40分29秒,25.3,66.0
2022/09/10,06時00分29秒,25.3,66.1
2022/09/10,06時20分29秒,25.3,66.2
2022/09/10,06時40分30秒,25.3,66.1
2022/09/10,07時00分30秒,25.3,65.9
2022/09/10,07時20分30秒,25.4,66.0
2022/09/10,07時40分31秒,25.5,66.2
2022/09/10,08時00分31秒,25.6,66.5
2022/09/10,08時20分31秒,25.6,66.6
2022/09/10,08時40分31秒,25.6,66.8
2022/09/10,09時00分32秒,25.6,67.2
2022/09/10,09時20分32秒,25.6,67.2
2022/09/10,09時40分32秒,25.8,66.9
2022/09/10,10時00分33秒,25.8,66.9
2022/09/10,10時20分33秒,25.9,67.0
2022/09/10,10時40分34秒,26.0,67.0
2022/09/10,11時00分34秒,26.0,67.0
2022/09/10,11時20分35秒,26.0,66.7
2022/09/10,11時40分35秒,26.0,64.9
2022/09/10,12時00分11秒,26.0,63.6
2022/09/10,12時20分24秒,26.1,63.2
2022/09/10,12時40分24秒,26.0,62.3
2022/09/10,13時00分24秒,26.0,62.1
2022/09/10,13時20分25秒,26.0,60.6
2022/09/10,13時40分25秒,26.0,59.3
2022/09/10,14時00分25秒,26.0,57.8
2022/09/10,14時20分25秒,25.9,58.2
2022/09/10,14時40分26秒,25.8,57.9
2022/09/10,15時00分26秒,25.9,57.4
2022/09/10,15時20分26秒,26.0,56.6
2022/09/10,15時40分26秒,26.1,55.9
2022/09/10,16時00分27秒,26.4,55.1
2022/09/10,16時20分27秒,26.5,54.0
2022/09/10,16時40分27秒,26.6,53.4
2022/09/10,17時00分27秒,26.7,53.4
2022/09/10,17時20分28秒,26.5,53.3
2022/09/10,17時40分28秒,26.6,52.6
2022/09/10,18時00分28秒,26.0,53.6
2022/09/10,18時20分28秒,25.9,53.0
2022/09/10,18時40分29秒,25.8,52.6
2022/09/10,19時00分29秒,25.8,52.5
2022/09/10,19時20分29秒,25.7,52.8
2022/09/10,19時40分29秒,25.8,52.9
2022/09/10,20時00分30秒,25.6,53.7
2022/09/10,20時20分30秒,25.6,54.6
2022/09/10,20時40分30秒,25.6,54.3
2022/09/10,21時00分30秒,25.6,55.4
2022/09/10,21時20分30秒,25.6,55.3
2022/09/10,21時40分31秒,25.6,55.7
2022/09/10,22時00分31秒,25.6,55.7
2022/09/10,22時20分32秒,25.6,55.6
2022/09/10,22時40分32秒,25.3,56.0
2022/09/10,23時00分33秒,25.3,56.0
2022/09/10,23時20分33秒,25.2,55.8
2022/09/10,23時40分36秒,25.3,55.2
2022/09/11,00時00分12秒,25.3,55.2
2022/09/11,00時20分25秒,25.3,55.2
2022/09/11,00時40分25秒,25.4,55.0
2022/09/11,01時00分26秒,25.3,55.1
2022/09/11,01時20分26秒,25.4,55.1
2022/09/11,01時40分26秒,25.4,55.0
2022/09/11,02時00分26秒,25.4,55.1
2022/09/11,02時20分27秒,25.4,55.1
2022/09/11,02時40分27秒,25.4,55.2
2022/09/11,03時00分27秒,25.4,55.1
2022/09/11,03時20分27秒,25.3,55.2
2022/09/11,03時40分28秒,25.4,55.0
2022/09/11,04時00分28秒,25.3,54.9
2022/09/11,04時20分28秒,25.3,54.7
2022/09/11,04時40分28秒,25.2,54.6
2022/09/11,05時00分29秒,25.2,54.4
2022/09/11,05時20分29秒,25.1,54.4
2022/09/11,05時40分29秒,25.0,54.5
2022/09/11,06時00分29秒,25.1,54.3
2022/09/11,06時20分30秒,25.0,54.3
2022/09/11,06時40分32秒,25.0,53.6
2022/09/11,07時00分33秒,25.0,53.6
2022/09/11,07時20分37秒,25.0,53.6
2022/09/11,07時40分37秒,25.0,53.6
2022/09/11,08時00分37秒,25.0,53.8
2022/09/11,08時20分37秒,25.0,54.0
2022/09/11,08時40分38秒,25.0,54.3
2022/09/11,09時00分38秒,25.0,54.6
2022/09/11,09時20分38秒,25.0,55.0
2022/09/11,09時40分38秒,25.0,55.4
2022/09/11,10時00分40秒,25.1,55.6
2022/09/11,10時20分40秒,25.2,55.7
2022/09/11,10時40分40秒,25.3,55.7
2022/09/11,11時00分40秒,25.4,55.7
2022/09/11,11時20分41秒,25.2,54.9
2022/09/11,11時40分41秒,25.4,56.2
2022/09/11,12時00分11秒,25.4,56.0
2022/09/11,12時20分24秒,25.5,55.9
2022/09/11,12時40分24秒,25.6,56.3
2022/09/11,13時00分24秒,25.6,56.5
2022/09/11,13時20分25秒,25.6,56.9
2022/09/11,13時40分25秒,25.6,57.1
2022/09/11,14時00分25秒,25.6,57.2
2022/09/11,14時20分26秒,25.6,57.4
2022/09/11,14時40分26秒,25.7,57.1
2022/09/11,15時00分26秒,25.7,57.6
2022/09/11,15時20分26秒,25.7,57.7
2022/09/11,15時40分26秒,25.8,57.7
2022/09/11,16時00分27秒,25.9,57.9
2022/09/11,16時20分27秒,25.9,57.9
2022/09/11,16時40分27秒,26.0,58.0
2022/09/11,17時00分27秒,26.0,58.3
2022/09/11,17時20分28秒,26.1,57.7
2022/09/11,17時40分28秒,26.1,57.9
2022/09/11,18時00分28秒,26.0,58.1
2022/09/11,18時20分29秒,26.1,57.9
2022/09/11,18時40分29秒,26.0,57.8
2022/09/11,19時00分29秒,25.9,58.0
2022/09/11,19時20分29秒,25.9,57.9
2022/09/11,19時40分30秒,25.8,58.1
2022/09/11,20時00分30秒,25.8,58.3
2022/09/11,20時20分30秒,25.8,58.4
2022/09/11,20時40分30秒,25.8,58.3
2022/09/11,21時00分31秒,25.8,58.3
2022/09/11,21時20分31秒,25.7,58.3
2022/09/11,21時40分32秒,25.6,58.3
2022/09/11,22時00分32秒,25.6,58.3
2022/09/11,22時20分33秒,25.6,58.1
2022/09/11,22時40分33秒,25.4,58.5
2022/09/11,23時00分34秒,25.3,58.8
2022/09/11,23時20分34秒,25.4,58.5
2022/09/11,23時40分35秒,25.5,58.4
2022/09/12,00時00分11秒,25.5,58.3
2022/09/12,00時20分24秒,25.5,58.3
2022/09/12,00時40分24秒,25.5,58.3
2022/09/12,01時00分25秒,25.4,58.3
2022/09/12,01時20分25秒,25.6,58.0
2022/09/12,01時40分25秒,25.6,58.1
2022/09/12,02時00分25秒,25.6,58.1
2022/09/12,02時20分26秒,25.5,58.0
2022/09/12,02時40分26秒,25.6,57.7
2022/09/12,03時00分26秒,25.5,57.6
2022/09/12,03時20分26秒,25.5,57.6
2022/09/12,03時40分27秒,25.4,57.6
2022/09/12,04時00分28秒,25.5,57.4
2022/09/12,04時20分28秒,25.4,57.5
2022/09/12,04時40分28秒,25.4,57.4
2022/09/12,05時00分29秒,25.4,57.5
2022/09/12,05時20分29秒,25.4,57.5
2022/09/12,05時40分29秒,25.4,57.3
2022/09/12,06時00分29秒,25.3,57.4
2022/09/12,06時20分30秒,25.3,57.3
2022/09/12,06時40分30秒,25.3,57.3
2022/09/12,07時00分30秒,25.2,57.3
2022/09/12,07時20分31秒,25.3,57.4
2022/09/12,07時40分31秒,25.1,57.1
2022/09/12,08時00分32秒,25.2,57.2
2022/09/12,08時20分32秒,25.1,57.9
2022/09/12,08時40分33秒,25.0,58.7
2022/09/12,09時00分33秒,25.0,59.1
2022/09/12,09時20分34秒,25.0,59.8
2022/09/12,09時40分34秒,25.0,60.3
2022/09/12,10時00分35秒,25.1,60.1
2022/09/12,10時20分35秒,25.2,60.2
2022/09/12,10時40分35秒,25.6,58.7
2022/09/12,11時00分35秒,26.0,58.5
2022/09/12,11時20分36秒,26.0,57.8
2022/09/12,11時40分36秒,26.2,57.3
2022/09/12,12時00分14秒,26.1,58.9
2022/09/12,12時20分26秒,26.1,58.9
2022/09/12,12時40分27秒,26.0,59.3
2022/09/12,13時00分28秒,26.1,59.5
2022/09/12,13時20分28秒,26.1,59.7
2022/09/12,13時40分28秒,26.8,58.0
2022/09/12,14時00分28秒,27.0,57.4
2022/09/12,14時20分28秒,27.1,57.4
