日付,時間,気温,湿度
2022/09/09,1時,20.4,98.0
2022/09/09,2時,20.3,99.0
2022/09/09,3時,20.2,99.0
2022/09/09,4時,19.9,98.0
2022/09/09,5時,19.7,100.0
2022/09/09,6時,19.8,100.0
2022/09/09,7時,21.4,94.0
2022/09/09,8時,21.4,94.0
2022/09/09,9時,22.0,89.0
2022/09/09,10時,23.1,84.0
2022/09/09,11時,24.3,79.0
2022/09/09,12時,25.2,76.0
2022/09/09,13時,26.4,74.0
2022/09/09,14時,27.1,71.0
2022/09/09,15時,27.7,73.0
2022/09/09,16時,26.2,77.0
2022/09/09,17時,26.1,77.0
2022/09/09,18時,24.7,81.0
2022/09/09,19時,24.3,82.0
2022/09/09,20時,23.6,85.0
2022/09/09,21時,23.2,87.0
2022/09/09,22時,23.1,87.0
2022/09/09,23時,22.9,87.0
2022/09/09,24時,22.9,88.0
日付,時間,気温,湿度
2022/09/10,1時,22.4,92.0
2022/09/10,2時,22.7,89.0
2022/09/10,3時,22.4,91.0
2022/09/10,4時,22.1,94.0
2022/09/10,5時,22.0,94.0
2022/09/10,6時,22.1,92.0
2022/09/10,7時,22.8,90.0
2022/09/10,8時,23.3,88.0
2022/09/10,9時,24.3,81.0
2022/09/10,10時,27.0,73.0
2022/09/10,11時,26.9,65.0
2022/09/10,12時,29.1,53.0
2022/09/10,13時,30.3,41.0
2022/09/10,14時,29.6,38.0
2022/09/10,15時,29.7,37.0
2022/09/10,16時,28.3,43.0
2022/09/10,17時,26.8,46.0
2022/09/10,18時,25.4,49.0
2022/09/10,19時,24.1,54.0
2022/09/10,20時,22.8,62.0
2022/09/10,21時,21.3,72.0
2022/09/10,22時,21.1,65.0
2022/09/10,23時,20.2,67.0
2022/09/10,24時,19.6,73.0
日付,時間,気温,湿度
2022/09/11,1時,19.3,72.0
2022/09/11,2時,15.9,88.0
2022/09/11,3時,15.3,86.0
2022/09/11,4時,15.5,82.0
2022/09/11,5時,14.6,83.0
2022/09/11,6時,14.8,91.0
2022/09/11,7時,16.1,89.0
2022/09/11,8時,19.0,82.0
2022/09/11,9時,22.5,72.0
2022/09/11,10時,24.4,63.0
2022/09/11,11時,26.6,52.0
2022/09/11,12時,27.2,52.0
2022/09/11,13時,28.5,51.0
2022/09/11,14時,28.8,52.0
2022/09/11,15時,28.0,54.0
2022/09/11,16時,27.6,56.0
2022/09/11,17時,26.2,61.0
2022/09/11,18時,24.7,65.0
2022/09/11,19時,24.0,67.0
2022/09/11,20時,22.6,73.0
2022/09/11,21時,22.5,73.0
2022/09/11,22時,22.2,73.0
2022/09/11,23時,21.8,75.0
2022/09/11,24時,21.6,76.0
